COMPACTNESS,CIRCULARITY,DISTANCE_CIRCULARITY,RADIUS_RATIO,PR.AXIS_ASPECT_RATIO,MAX.LENGTH_ASPECT_RATIO,SCATTER_RATIO,ELONGATEDNESS,PR.AXIS_RECTANGULARITY,MAX.LENGTH_RECTANGULARITY,SCALED_VARIANCE_MAJOR,SCALED_VARIANCE_MINOR,SCALED_RADIUS_OF_GYRATION,SKEWNESS_ABOUT_MAJOR,SKEWNESS_ABOUT_MINOR,KURTOSIS_ABOUT_MAJOR,KURTOSIS_ABOUT_MINOR,HOLLOWS_RATIO,Class
103,55,100,194,62,11,212,31,24,175,217,666,219,73,10,14,187,194,opel
101,56,100,168,55,11,214,31,24,175,219,681,224,74,2,3,185,192,opel
104,57,103,216,69,11,219,30,25,176,228,708,219,73,4,3,186,196,opel
99,55,101,206,62,13,222,30,25,180,225,722,213,71,2,3,186,196,opel
107,54,98,210,66,11,218,31,24,169,221,704,216,71,14,0,188,197,saab
105,54,106,215,68,10,208,32,24,166,217,640,218,69,14,23,189,199,saab
100,52,104,189,59,10,208,32,24,163,220,642,197,70,1,22,187,198,saab
100,55,101,189,57,10,222,30,25,177,225,731,211,71,7,17,188,197,opel
101,55,108,228,69,12,215,31,24,168,229,684,214,71,2,16,188,199,saab
103,55,103,211,65,11,212,31,24,165,229,673,249,72,5,16,188,196,opel
104,58,103,230,69,11,219,30,25,176,231,716,246,71,7,4,187,196,opel
98,58,101,208,65,12,226,30,25,182,225,748,216,71,6,1,185,196,opel
107,57,106,179,51,8,257,26,28,172,275,954,232,83,2,20,181,184,bus
109,54,109,225,68,11,214,31,24,169,226,675,212,68,11,32,189,202,saab
116,53,110,231,67,12,217,31,24,165,231,692,222,67,16,28,192,206,saab
109,55,102,169,51,6,241,27,26,165,265,870,247,84,10,11,184,183,bus
98,52,86,207,69,5,192,33,22,161,212,570,221,75,4,6,194,195,bus
106,53,98,193,60,10,215,31,24,169,224,681,218,73,8,21,188,197,saab
107,52,103,186,57,11,214,31,24,162,217,676,189,66,6,5,189,198,opel
109,51,100,197,59,10,192,34,22,161,210,553,195,64,14,3,196,202,opel
96,52,104,222,67,9,198,33,23,163,217,589,226,67,12,20,192,201,opel
102,51,92,194,60,6,220,30,25,162,247,731,209,80,7,7,188,186,bus
105,54,100,220,69,10,221,30,25,170,232,718,202,73,0,13,187,199,saab
113,57,109,194,56,6,260,26,28,175,288,982,261,85,11,21,182,183,bus
98,51,96,203,66,10,188,35,22,157,207,533,231,68,10,1,191,199,saab
104,52,96,188,59,9,188,35,22,161,206,530,205,67,11,8,193,200,opel
99,57,109,220,66,11,221,30,25,176,234,725,236,70,10,25,188,200,opel
107,57,102,184,55,7,234,28,26,171,243,822,229,77,7,11,187,187,bus
109,54,103,205,63,11,222,30,25,175,229,720,213,71,6,14,187,200,saab
99,51,88,188,62,5,203,32,23,158,222,625,219,77,8,26,191,190,bus
102,54,101,190,58,10,222,30,25,171,224,728,203,71,13,6,189,198,opel
99,55,101,219,68,10,224,30,25,178,228,737,213,74,11,20,187,196,opel
101,54,106,188,57,7,236,28,26,164,256,833,253,81,6,14,185,185,bus
117,52,110,228,65,12,212,31,24,163,228,668,220,66,21,25,194,205,saab
108,52,109,182,55,12,216,31,24,171,229,687,214,72,10,28,189,201,saab
108,54,105,203,62,11,202,33,23,164,216,608,235,68,12,3,190,200,saab
109,52,95,189,58,4,227,29,25,158,262,776,217,82,0,19,187,186,bus
104,51,108,193,59,11,217,31,24,163,232,694,203,72,15,22,190,201,saab
105,56,98,209,64,11,217,31,24,173,225,696,216,72,2,19,188,199,opel
106,54,100,227,67,4,250,27,27,162,280,923,262,88,5,11,182,182,bus
100,51,109,224,67,9,217,30,24,162,238,704,206,72,6,18,189,199,opel
100,57,107,207,63,11,227,30,25,180,234,756,205,72,6,19,186,198,opel
108,57,106,177,51,5,256,26,28,170,285,966,261,87,11,2,182,181,bus
107,53,108,213,64,12,206,32,23,163,216,627,202,65,21,22,194,205,saab
101,52,105,162,53,10,212,31,24,163,226,669,204,74,12,11,186,194,opel
101,53,108,184,54,12,216,31,24,172,220,685,187,68,4,24,190,201,opel
106,53,98,203,63,11,220,30,25,167,228,710,214,71,10,24,188,197,opel
104,53,108,206,61,11,217,31,24,168,226,694,209,67,0,9,188,201,saab
104,51,105,168,54,10,208,32,24,162,220,641,221,72,9,20,187,197,saab
101,51,98,194,60,10,195,34,22,161,219,572,219,67,0,10,192,201,saab
102,53,101,238,72,4,238,28,26,163,267,844,242,85,7,22,184,184,bus
101,52,101,197,62,9,188,35,22,162,208,527,203,67,14,15,193,202,saab
95,57,104,228,74,10,212,31,24,175,224,670,223,74,0,4,186,193,opel
101,53,91,194,65,6,204,32,23,161,231,636,214,78,5,14,192,192,bus
106,52,101,213,64,11,201,33,23,158,214,607,204,65,2,4,192,204,saab
103,57,105,221,69,11,218,30,24,173,226,706,250,73,10,2,187,195,opel
106,52,107,211,62,8,200,33,23,161,218,602,200,67,9,17,194,201,opel
96,54,104,175,58,10,215,31,24,175,221,682,222,75,13,23,186,194,opel
105,51,108,201,62,11,220,30,25,163,232,711,202,72,12,16,189,200,saab
104,55,109,230,67,12,218,30,24,174,230,706,226,67,8,22,191,202,opel
107,56,105,202,61,11,221,30,25,179,234,725,212,72,15,1,189,196,opel
97,55,104,219,71,9,211,32,24,171,222,658,223,74,1,24,186,196,saab
101,55,101,183,57,13,225,30,25,177,225,741,204,71,5,10,186,198,opel
104,55,100,201,66,10,214,31,24,173,224,680,221,74,1,1,185,194,saab
104,54,91,209,67,11,218,31,24,170,223,697,196,74,4,21,187,196,opel
104,57,103,222,72,12,221,30,25,177,223,718,218,72,11,12,186,195,opel
102,51,108,193,57,10,212,31,24,162,219,663,184,66,7,21,191,201,opel
108,54,109,189,57,11,220,31,25,174,229,709,214,70,12,23,189,201,saab
102,54,98,177,56,10,219,31,25,171,219,706,223,72,5,17,186,196,opel
106,54,105,164,48,5,247,27,27,165,269,891,243,84,12,1,181,182,bus
106,55,98,224,68,11,215,31,24,170,222,679,214,68,2,29,189,201,opel
102,54,98,167,53,10,217,31,24,174,228,692,223,72,0,31,187,198,opel
101,56,100,204,62,12,227,30,25,178,231,757,204,73,0,11,186,197,opel
105,54,96,185,57,10,219,30,25,170,231,706,217,75,5,12,187,195,opel
115,53,100,205,64,11,220,30,25,166,229,710,214,71,21,11,189,199,saab
101,51,112,201,59,11,214,32,24,162,223,667,194,65,0,36,190,206,saab
101,55,105,182,59,10,215,31,24,177,221,678,223,74,12,26,186,195,opel
103,54,107,189,56,11,223,30,25,174,225,729,200,70,0,29,187,201,opel
107,54,108,228,68,12,218,31,25,170,223,700,224,67,13,25,190,204,saab
105,52,107,207,60,11,218,31,24,167,221,701,197,66,0,20,191,203,opel
107,55,103,167,49,7,252,27,28,172,269,904,239,83,5,30,179,186,bus
102,55,101,213,67,12,222,30,25,177,226,719,213,71,2,21,187,199,saab
109,55,96,191,57,6,241,28,26,170,267,857,242,85,8,9,184,184,bus
107,51,103,182,56,11,213,31,24,162,226,673,217,72,2,4,188,198,saab
108,56,102,246,75,6,239,28,26,167,264,855,228,82,9,13,186,185,bus
101,56,101,231,72,10,217,31,24,171,232,698,216,72,2,6,187,197,saab
105,55,96,181,56,9,219,30,25,175,231,713,216,74,4,5,187,194,opel
113,53,93,197,62,11,216,31,24,165,221,688,196,72,6,25,188,199,saab
108,54,103,212,65,11,208,32,24,162,228,648,240,71,9,0,189,197,saab
105,53,108,206,63,12,222,31,25,168,226,712,201,71,15,35,189,203,saab
104,55,105,216,68,11,205,32,23,169,221,623,216,71,9,18,189,196,opel
109,54,103,220,66,11,214,31,24,167,229,677,212,70,1,23,188,201,saab
109,53,103,210,63,11,219,30,25,172,229,707,212,71,6,3,188,199,saab
99,54,100,199,62,9,200,33,23,166,222,600,241,70,2,7,189,198,opel
108,53,104,181,56,11,220,31,25,167,226,712,214,72,15,18,189,199,saab
104,54,101,197,64,11,213,31,24,172,218,669,222,74,14,4,187,196,saab
100,51,89,199,65,6,201,32,23,159,219,622,205,74,6,7,193,193,bus
98,55,108,168,53,11,224,30,25,178,231,737,217,73,8,30,187,198,opel
104,55,105,223,70,10,223,30,25,177,237,737,218,75,14,11,188,196,opel
100,51,109,231,70,11,220,30,25,163,238,722,206,73,11,19,189,198,opel
97,53,105,225,71,12,221,30,25,167,226,713,202,70,3,20,186,200,saab
103,56,105,183,59,10,210,32,24,173,217,648,218,72,13,22,188,196,opel
97,55,96,170,54,10,216,31,24,173,219,685,218,75,0,4,184,193,opel
108,56,103,234,73,10,221,30,25,174,232,718,214,73,8,3,187,197,saab
106,52,108,207,64,12,221,31,25,168,229,709,200,73,22,38,190,205,saab
104,53,101,190,63,10,213,32,24,166,218,664,202,74,13,21,188,198,saab
98,51,84,207,72,7,184,35,21,161,199,520,198,72,9,11,196,199,bus
102,52,101,213,64,10,203,33,23,157,214,616,186,65,0,19,193,203,opel
108,55,105,230,68,11,218,30,24,171,228,709,210,69,14,4,190,197,opel
91,52,98,196,62,9,193,34,22,161,216,562,244,69,3,1,190,199,opel
105,53,105,184,57,11,211,31,24,168,224,661,218,71,0,15,186,197,saab
98,55,104,213,67,9,206,32,23,167,223,629,220,72,5,19,187,196,saab
110,53,104,223,66,10,211,32,24,164,223,659,210,67,5,16,190,203,saab
95,51,96,196,63,9,190,35,22,161,208,543,235,68,13,0,191,198,opel
100,58,109,230,70,11,226,30,25,182,234,752,207,72,0,13,187,198,opel
105,51,80,207,71,6,195,33,22,159,214,579,188,75,6,20,194,194,bus
110,56,109,199,57,5,251,27,27,169,272,928,268,82,11,10,183,183,bus
106,57,107,235,67,6,262,26,28,171,285,987,260,86,9,31,180,184,bus
105,51,105,197,60,11,191,35,22,162,207,545,194,64,18,4,196,205,saab
108,51,100,206,63,10,196,34,23,159,214,576,201,65,7,16,194,205,saab
106,53,98,192,58,11,217,31,24,166,228,693,191,71,11,24,188,198,opel
99,52,104,177,55,10,210,32,24,166,219,657,215,73,3,2,187,194,opel
110,54,102,201,64,11,213,31,24,171,222,669,221,73,17,16,188,198,saab
102,54,98,201,61,6,225,29,25,165,246,766,231,79,9,14,188,187,bus
100,54,102,206,65,10,198,33,23,164,224,587,240,72,4,11,187,196,saab
107,53,108,211,63,11,219,31,25,168,228,704,198,69,10,21,190,203,saab
100,52,109,225,68,10,222,30,25,165,241,731,207,73,7,28,188,199,opel
104,52,110,172,53,10,219,30,25,166,235,711,218,74,10,28,188,198,opel
104,53,101,199,65,11,213,31,24,168,216,667,221,72,12,12,187,198,saab
105,54,108,234,70,12,215,31,24,168,226,687,228,68,4,22,189,201,saab
101,55,107,200,61,11,225,30,25,178,228,730,204,74,8,35,187,201,opel
103,52,103,170,52,7,236,28,26,160,254,816,250,82,3,23,183,184,bus
114,57,102,181,52,6,257,26,28,169,287,968,261,85,2,21,182,184,bus
102,51,104,217,67,10,204,32,23,162,220,621,195,68,3,19,188,197,saab
105,51,93,160,51,7,217,30,24,165,240,703,208,81,9,25,188,188,bus
109,52,104,199,60,12,215,31,24,162,220,691,212,67,11,7,189,199,saab
93,51,90,209,69,8,183,36,22,156,211,506,230,70,6,1,189,196,saab
95,53,95,202,65,10,193,34,22,160,220,559,237,71,3,2,188,196,saab
115,51,100,201,60,12,196,34,23,162,207,573,184,62,22,1,198,208,saab
102,52,98,225,71,10,214,31,24,164,228,682,199,71,0,16,187,196,opel
103,53,106,172,55,10,212,32,24,168,220,660,223,73,16,24,187,197,saab
92,52,93,204,67,9,189,35,22,161,214,536,240,72,2,5,188,195,opel
106,53,98,154,47,4,237,28,26,164,263,838,222,82,4,17,185,184,bus
107,54,96,201,62,12,218,31,24,170,221,694,217,71,2,21,187,198,saab
107,55,103,213,68,11,219,30,25,172,221,709,216,70,10,7,187,197,saab
115,52,100,203,62,10,217,31,24,165,229,697,214,72,14,4,188,197,saab
100,51,104,163,52,10,206,32,23,164,217,631,193,69,5,21,188,196,opel
111,53,108,211,61,11,207,32,23,167,217,636,216,64,21,2,196,205,saab
103,56,100,185,59,11,216,31,24,173,219,684,219,75,15,11,186,194,opel
104,52,101,206,62,10,198,33,23,161,207,587,204,64,2,5,195,204,opel
103,51,105,174,56,11,210,32,24,163,222,650,222,73,8,9,187,196,saab
97,55,103,197,63,11,215,31,24,172,219,677,219,75,5,24,185,194,opel
104,53,108,204,64,11,220,31,25,172,226,707,203,71,14,30,189,203,saab
104,56,96,231,74,11,220,30,25,172,223,713,218,73,6,16,186,195,opel
105,54,105,213,67,10,200,33,23,163,214,597,214,68,10,20,190,198,opel
106,55,96,196,60,12,221,30,25,173,225,717,214,72,9,13,186,196,opel
99,57,100,177,54,13,224,30,25,188,223,726,213,72,4,7,185,198,opel
111,58,105,183,51,6,265,26,29,174,285,1018,255,85,4,8,181,183,bus
106,54,101,222,67,12,222,30,25,173,228,721,200,70,3,4,187,201,saab
